Datetime,news_cnt_5m,news_cnt_15m,news_cnt_60m,sent_sum_pos_5m,sent_sum_neg_5m,sent_net_5m,sent_sum_pos_15m,sent_sum_neg_15m,sent_net_15m,sent_sum_pos_60m,sent_sum_neg_60m,sent_net_60m,sent_ewm_60m
2025-11-07 14:58:00+00:00,1.0,5.0,14.0,0.4108112752437591,0.01004573330283171,0.0801531083881855,1.1659411294385793,2.356061506085098,-0.07934135844310125,3.037952674552798,6.102681605145335,-0.05107881550987562,-0.0164797148788385
2025-11-07 14:59:00+00:00,0.0,4.0,14.0,0.0,0.0,0.0,0.8534750146791341,2.344492044299841,-0.09940113530804713,3.037952674552798,6.102681605145335,-0.05107881550987562,-0.016290429209150085
2025-11-07 15:00:00+00:00,1.0,5.0,15.0,0.4553945660591125,0.011285767890513011,0.08882175963371992,1.3088695807382467,2.355777812190354,-0.06979388209680716,3.4933472406119104,6.113967373035848,-0.04367700220706563,-0.011002293053946828
2025-11-07 15:01:00+00:00,1.0,4.0,15.0,0.4553945660591125,0.011285767890513011,0.08882175963371992,1.2945787785574796,1.3893262865021827,-0.006316500529646866,3.4933472406119104,6.113967373035848,-0.04367700220706563,-0.01087592093985772
2025-11-07 15:02:00+00:00,1.0,3.0,15.0,0.4553945660591125,0.011285767890513011,0.08882175963371992,0.8741342602297666,0.9954674364998938,-0.008088878418008472,3.4933472406119104,6.113967373035848,-0.04367700220706563,-0.010751000333299001
2025-11-07 15:03:00+00:00,1.0,2.0,15.0,0.4553945660591125,0.011285767890513011,0.08882175963371992,0.866205841302872,0.02133150119334461,0.05632495600730182,3.4933472406119104,6.113967373035848,-0.04367700220706563,-0.01062751456228472
2025-11-07 15:04:00+00:00,1.0,2.0,15.0,0.4553945660591125,0.011285767890513011,0.08882175963371992,0.866205841302872,0.02133150119334461,0.05632495600730182,3.4933472406119104,6.113967373035848,-0.04367700220706563,-0.010505447146323016
2025-11-07 15:05:00+00:00,0.0,2.0,15.0,0.0,0.0,0.0,0.866205841302872,0.02133150119334461,0.05632495600730182,3.4933472406119104,6.113967373035848,-0.04367700220706563,-0.010384781794216622
2025-11-07 15:06:00+00:00,1.0,3.0,16.0,0.0086129447445273,0.9717352986335756,-0.1926244707778096,0.8748187860473994,0.99306679982692,-0.00788320091863471,3.5019601853564377,7.085702671669424,-0.059729041438549756,-0.021327906156329162
2025-11-07 15:07:00+00:00,1.0,3.0,16.0,0.0086129447445273,0.9717352986335756,-0.1926244707778096,0.8748187860473994,0.99306679982692,-0.00788320091863471,3.5019601853564377,7.085702671669424,-0.059729041438549756,-0.02108293426030222
2025-11-07 15:08:00+00:00,1.0,3.0,16.0,0.0086129447445273,0.9717352986335756,-0.1926244707778096,0.8748187860473994,0.99306679982692,-0.00788320091863471,3.5019601853564377,7.085702671669424,-0.059729041438549756,-0.020840776106487154
2025-11-07 15:09:00+00:00,1.0,2.0,16.0,0.0086129447445273,0.9717352986335756,-0.1926244707778096,0.4640075108036402,0.9830210665240884,-0.03460090371469655,3.5019601853564377,7.085702671669424,-0.059729041438549756,-0.02060139937629819
